                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0911,                 2.2787,                  1.397,                0.89533,                   0.92,                0.94576,                0.73831,                0.65082,                0.56431,                 1.1822,               0.068405,              0.0016629,              0.0016629
                      2,                0.81121,                 1.1136,                 1.1851,                0.69937,                0.89729,                0.95296,                0.81102,                0.51405,                0.86731,                 1.0281,               0.036408,                  0.003,                  0.003
                      3,                 0.8711,                 1.0859,                 1.2415,                 0.9483,                0.93968,                0.97353,                0.77301,                0.66766,                0.46625,                  1.171,              0.0040821,               0.004007,               0.004007
                      4,                0.91466,                 1.1051,                  1.264,                 0.9645,                   0.96,                0.98462,                0.80837,                0.61614,                0.44305,                 1.1136,               0.003515,               0.003515,               0.003515
                      5,                0.85602,                 1.0306,                 1.2222,                0.78104,                0.89654,                0.95188,                0.80901,                0.52592,                0.61842,                  1.023,                0.00302,                0.00302,                0.00302
                      6,                 0.7914,                0.95609,                 1.1773,                0.85615,                0.91976,                0.97926,                0.85701,                 0.5035,                0.52009,                  1.003,               0.002525,               0.002525,               0.002525
                      7,                0.74969,                0.88257,                 1.1425,                0.96369,                 0.9775,                0.99266,                0.86302,                0.48751,                0.33804,                 1.0024,                0.00203,                0.00203,                0.00203
                      8,                0.69206,                0.80398,                  1.107,                0.94958,                0.91294,                0.98781,                0.89833,                0.40814,                0.38531,                0.96082,               0.001535,               0.001535,               0.001535
                      9,                0.64688,                0.72903,                 1.0763,                0.96295,                0.97544,                0.98561,                0.88624,                0.44248,                0.30966,                0.98657,                0.00104,                0.00104,                0.00104
                     10,                0.60754,                0.67327,                 1.0492,                0.99019,                0.98898,                0.99471,                0.93073,                0.34835,                0.23845,                0.90522,               0.000545,               0.000545,               0.000545
