                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3217,                 3.0407,                 1.5599,                0.73355,                0.84946,                0.84486,                0.67587,                0.62179,                0.86176,                 1.1273,               0.067074,             0.00033258,             0.00033258
                      2,                0.81354,                 1.2913,                 1.1967,                0.92053,                   0.94,                0.98072,                0.84743,                0.47692,                0.50072,                 1.0219,               0.034008,             0.00059999,             0.00059999
                      3,                0.74179,                 1.0463,                 1.1445,                 0.9554,                0.92914,                 0.9855,                0.84561,                0.49558,                0.38733,                 1.0418,             0.00087647,              0.0008014,              0.0008014
                      4,                0.70697,                0.95275,                 1.1186,                0.93615,                0.95333,                0.99087,                0.90708,                 0.3892,                0.37958,                0.93744,               0.000703,               0.000703,               0.000703
                      5,                0.66254,                0.84677,                 1.0872,                0.96758,                 0.9633,                0.99007,                0.89183,                0.42323,                0.32241,                0.97003,               0.000604,               0.000604,               0.000604
                      6,                0.62743,                0.78638,                 1.0613,                0.91811,                0.94381,                 0.9829,                0.89028,                0.40328,                0.37179,                0.97151,               0.000505,               0.000505,               0.000505
                      7,                0.60572,                0.73705,                 1.0376,                0.96696,                0.97614,                0.98934,                0.91413,                0.35085,                0.27785,                 0.9139,               0.000406,               0.000406,               0.000406
                      8,                0.58064,                0.68912,                 1.0205,                0.95251,                0.97058,                0.99234,                0.91958,                0.37443,                0.29257,                0.91837,               0.000307,               0.000307,               0.000307
                      9,                 0.5555,                0.64714,                 1.0048,                 0.9868,                0.97528,                0.99304,                0.93322,                0.32741,                0.23525,                 0.8994,               0.000208,               0.000208,               0.000208
                     10,                0.54194,                0.63355,                0.99967,                 0.9822,                  0.975,                0.99352,                0.93309,                0.32333,                0.22828,                0.89717,               0.000109,               0.000109,               0.000109
