                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2831,                 2.0847,                 1.5379,                0.74076,                   0.33,                0.45516,                0.18154,                 1.9588,                 2.2262,                 2.5608,               0.083371,               0.016629,               0.016629
                      2,                 1.6073,                 1.9943,                 1.7823,                0.82138,                0.37783,                0.56256,                0.29221,                 1.5606,                 1.8894,                 1.8845,               0.063408,                   0.03,                   0.03
                      3,                 1.6238,                 1.8981,                 1.8111,                0.00649,                   0.66,                  0.008,                0.00197,                 3.0278,                 3.4562,                 3.8951,               0.040145,                0.04007,                0.04007
                      4,                 1.4759,                 1.7408,                 1.6936,                0.63355,                0.75935,                0.80608,                0.55236,                 1.0261,                 1.1319,                 1.3609,                0.03515,                0.03515,                0.03515
                      5,                 1.2824,                 1.5482,                 1.5439,                0.63827,                0.85173,                0.72497,                0.52663,                0.88504,                 0.9634,                 1.2825,                 0.0302,                 0.0302,                 0.0302
                      6,                 1.1488,                 1.4142,                 1.4249,                0.63242,                0.88737,                0.79033,                0.61282,                0.72123,                0.96638,                 1.1315,                0.02525,                0.02525,                0.02525
                      7,                 1.0757,                 1.3269,                 1.3781,                0.86794,                 0.8825,                0.94549,                0.76771,                0.64443,                0.65156,                 1.0744,                 0.0203,                 0.0203,                 0.0203
                      8,                0.98216,                 1.2207,                  1.307,                 0.8307,                0.89983,                0.96791,                0.80184,                0.57838,                0.64978,                  1.048,                0.01535,                0.01535,                0.01535
                      9,                0.90224,                 1.1267,                 1.2531,                0.77518,                 0.8975,                0.93974,                0.81027,                0.52773,                0.67759,                 1.0152,                 0.0104,                 0.0104,                 0.0104
                     10,                0.84688,                 1.0639,                 1.2164,                0.90988,                0.95991,                0.97741,                0.85824,                0.46146,                0.48854,                0.97086,                0.00545,                0.00545,                0.00545
