                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5647,                    4.5,                 1.8764,                0.35102,                    0.3,                0.30037,                0.09934,                 2.2239,                 2.6983,                 2.4876,               0.079105,               0.000105,               0.000105
                      2,                0.83118,                  1.026,                 1.2685,                0.54067,                   0.76,                0.60376,                0.26793,                 1.8806,                 1.8848,                 2.3703,               0.057194,             0.00019372,             0.00019372
                      3,                0.78846,                0.78244,                 1.2015,                0.75266,                0.75072,                0.79218,                0.51869,                 1.1356,                 1.2473,                 1.5364,               0.035261,             0.00026065,             0.00026065
                      4,                0.72541,                0.68912,                 1.1462,                0.91119,                0.93867,                 0.9478,                0.69211,                0.81008,                0.63361,                 1.2798,               0.013306,              0.0003058,              0.0003058
                      5,                0.72001,                0.58441,                 1.1289,                0.93587,                   0.92,                0.96434,                0.71264,                0.86306,                0.69709,                 1.2853,               0.000302,               0.000302,               0.000302
                      6,                0.71607,                0.60795,                 1.1363,                0.93218,                0.95397,                 0.9849,                0.81056,                0.57753,                0.47833,                 1.0837,              0.0002525,              0.0002525,              0.0002525
                      7,                0.65298,                0.48855,                 1.0963,                0.98542,                   0.99,                0.98438,                0.81669,                 0.5496,                0.39424,                 1.0532,               0.000203,               0.000203,               0.000203
                      8,                0.62713,                0.44649,                 1.1016,                0.98399,                   0.99,                0.98998,                0.79701,                0.64258,                0.40734,                 1.1173,              0.0001535,              0.0001535,              0.0001535
                      9,                0.58729,                0.39312,                  1.058,                0.98387,                   0.99,                0.98869,                0.82826,                0.55082,                 0.3439,                  1.067,               0.000104,               0.000104,               0.000104
                     10,                0.58532,                0.38086,                 1.0621,                0.96928,                   0.99,                0.98592,                0.82806,                0.55534,                0.34435,                 1.0611,               5.45e-05,               5.45e-05,               5.45e-05
