                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5974,                 4.5548,                  1.909,                0.43177,                   0.51,                0.38124,                0.15152,                 1.8833,                 2.1596,                 2.2052,                0.07921,                0.00021,                0.00021
                      2,                0.99294,                 1.0939,                 1.3866,                0.62404,                0.61771,                 0.6301,                0.39948,                 1.0836,                 1.7606,                 1.6209,               0.057387,             0.00038743,             0.00038743
                      3,                  1.035,                0.99294,                 1.3678,                0.85731,                 0.8651,                0.95411,                0.60769,                 1.0643,                 1.1929,                 1.6166,               0.035521,              0.0005213,              0.0005213
                      4,                0.91608,                0.87723,                 1.2971,                 0.5441,                 0.5966,                0.48539,                0.32035,                 1.3874,                 2.2821,                 1.7666,               0.013612,             0.00061161,             0.00061161
                      5,                0.91469,                0.79365,                 1.2692,                0.53653,                   0.67,                0.61767,                0.34771,                 1.4278,                 2.9341,                 1.5975,               0.000604,               0.000604,               0.000604
                      6,                0.88572,                0.78216,                 1.2651,                0.77861,                   0.95,                0.91602,                 0.6627,                0.84434,                 1.3927,                  1.259,               0.000505,               0.000505,               0.000505
                      7,                 0.7748,                0.60652,                 1.1881,                0.88968,                0.93476,                0.97664,                0.74934,                0.72879,                0.91245,                 1.1649,               0.000406,               0.000406,               0.000406
                      8,                0.77282,                0.55814,                 1.2289,                0.94713,                0.96835,                0.98193,                0.78546,                 0.6883,                0.51435,                 1.1205,               0.000307,               0.000307,               0.000307
                      9,                0.72054,                0.48723,                 1.1547,                 0.9352,                   0.95,                0.97931,                0.80081,                0.60732,                0.47252,                 1.0835,               0.000208,               0.000208,               0.000208
                     10,                0.69325,                0.49136,                 1.1272,                0.95138,                0.98771,                0.98725,                0.80857,                 0.5814,                0.42177,                 1.0702,               0.000109,               0.000109,               0.000109
