                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                    2.9,                 6.5707,                 3.2464,                0.00176,                   0.51,                0.00386,                0.00077,                 3.0439,                 3.8027,                 3.5645,               0.077023,                2.3e-05,                2.3e-05
                      2,                 2.5908,                 3.0637,                 2.6933,                0.04418,                   0.02,                0.03721,                0.00927,                 2.5697,                 3.2735,                 2.7643,               0.053042,             4.2347e-05,             4.2347e-05
                      3,                 2.5452,                 2.7298,                 2.6671,                0.16099,                   0.29,                0.12279,                0.02442,                 2.6179,                 3.5254,                 2.7167,               0.029057,             5.6942e-05,             5.6942e-05
                      4,                  2.427,                 2.5949,                 2.6122,                0.11242,                   0.41,                 0.1186,                0.02625,                 2.4608,                 3.1451,                 2.7027,              0.0050668,             6.6785e-05,             6.6785e-05
                      5,                 2.4467,                 2.4824,                 2.6519,                0.14128,                   0.37,                0.12028,                0.02728,                 2.5551,                 2.7863,                 2.7986,               6.04e-05,               6.04e-05,               6.04e-05
                      6,                 2.3396,                 2.4782,                 2.5989,                0.19651,                 0.3896,                0.20181,                0.05572,                 2.4499,                 2.4001,                 2.6724,               5.05e-05,               5.05e-05,               5.05e-05
                      7,                 2.3514,                 2.4633,                 2.5798,                 0.2629,                0.49297,                0.27585,                0.07139,                 2.3809,                 2.3213,                 2.5689,               4.06e-05,               4.06e-05,               4.06e-05
                      8,                 2.3619,                 2.3442,                 2.5866,                0.24915,                0.47126,                0.25871,                0.06279,                 2.3356,                 2.3198,                 2.6028,               3.07e-05,               3.07e-05,               3.07e-05
                      9,                 2.3379,                 2.3009,                 2.5779,                 0.2957,                0.38215,                0.28603,                0.06582,                 2.3203,                 2.2904,                  2.587,               2.08e-05,               2.08e-05,               2.08e-05
                     10,                 2.2707,                 2.2747,                 2.5176,                 0.2968,                   0.42,                0.28072,                0.06536,                 2.3399,                 2.2836,                 2.5774,               1.09e-05,               1.09e-05,               1.09e-05
