                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.9465,                 6.2462,                 3.1878,                0.04229,                   0.05,                0.02307,                0.00475,                 2.8599,                 3.5658,                 3.6652,                0.07723,                0.00023,                0.00023
                      2,                 2.5302,                 2.9228,                 2.8942,                0.10187,                   0.37,                0.09575,                0.02092,                 2.4962,                 4.8639,                 3.4596,               0.053423,             0.00042347,             0.00042347
                      3,                 2.5351,                 2.7736,                  2.941,                0.55631,                   0.27,                0.10585,                0.02301,                 2.5768,                 13.031,                 3.7644,               0.029569,             0.00056942,             0.00056942
                      4,                 2.4682,                 2.7122,                 2.9547,                0.57986,                   0.25,                0.11323,                0.02561,                 2.7172,                 7.4676,                  3.332,              0.0056678,             0.00066785,             0.00066785
                      5,                 2.4732,                 2.6195,                  2.981,                0.03432,                    0.4,                0.02895,                0.00703,                 2.5379,                 7.0135,                 3.4505,               0.000604,               0.000604,               0.000604
                      6,                 2.3455,                 2.5781,                  2.921,                 0.0997,                   0.26,                0.06044,                0.01577,                 2.6088,                 9.5917,                 3.8128,               0.000505,               0.000505,               0.000505
                      7,                 2.4259,                 2.5126,                 2.9013,                0.54368,                   0.06,                0.03293,                0.00804,                 2.4389,                 4.1692,                 3.1288,               0.000406,               0.000406,               0.000406
                      8,                  2.483,                 2.4553,                 2.8904,                0.14607,                   0.37,                0.12152,                0.02715,                 2.5888,                 2.6818,                 2.9826,               0.000307,               0.000307,               0.000307
                      9,                  2.414,                 2.3723,                 2.8434,                0.09512,                0.32994,                0.17091,                0.03815,                 2.4808,                 2.3663,                 2.9369,               0.000208,               0.000208,               0.000208
                     10,                 2.3331,                  2.308,                 2.7957,                0.24209,                0.49043,                0.22527,                 0.0507,                 2.4209,                 2.3176,                 2.8845,               0.000109,               0.000109,               0.000109
