                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.0162,                 7.5438,                 3.2885,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                 0.0793,                 0.0023,                 0.0023
                      2,                 2.5442,                 3.5837,                   3.03,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.057235,              0.0042347,              0.0042347
                      3,                 2.5503,                 2.8613,                 2.9513,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.034694,              0.0056942,              0.0056942
                      4,                 2.5961,                  2.704,                 2.9765,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.011678,              0.0066785,              0.0066785
                      5,                 2.5437,                 2.6772,                 3.0215,                      0,                      0,                      0,                      0,                 1.2872,                  14915,                0.97375,                0.00604,                0.00604,                0.00604
                      6,                 2.5186,                 2.7189,                 3.0417,                0.00468,                   0.03,                0.00058,                0.00015,                 3.6365,                  39.39,                 4.2676,                0.00505,                0.00505,                0.00505
                      7,                 2.5081,                 2.5878,                 3.0067,                0.51438,                   0.03,                0.00221,                0.00047,                 3.0878,                 18.635,                  3.482,                0.00406,                0.00406,                0.00406
                      8,                 2.5139,                 2.5274,                 3.0465,                0.00778,                   0.07,                0.01091,                0.00437,                  2.718,                 15.347,                 3.3278,                0.00307,                0.00307,                0.00307
                      9,                 2.4935,                 2.5138,                 3.0155,                0.07691,                    0.1,                0.06165,                0.01519,                 2.3737,                 3.0764,                 3.0207,                0.00208,                0.00208,                0.00208
                     10,                  2.475,                 2.4743,                 3.0431,                0.06805,                0.48993,                0.06989,                0.02095,                 2.3443,                 3.2795,                 2.9982,                0.00109,                0.00109,                0.00109
