                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.9093,                 6.3305,                 3.2127,                0.00277,                   0.35,                0.01044,                0.00149,                 3.3659,                 3.7694,                 4.0044,               0.077115,               0.000115,               0.000115
                      2,                 2.4831,                 3.0021,                 2.7932,                0.12294,                   0.28,                0.10864,                0.02657,                 2.4428,                 3.8671,                 2.8238,               0.053212,             0.00021174,             0.00021174
                      3,                 2.4612,                  2.702,                 2.7704,                0.12014,                   0.45,                0.13353,                0.03232,                 2.5048,                 3.0147,                 2.9714,               0.029285,             0.00028471,             0.00028471
                      4,                 2.4464,                 2.5956,                 2.7971,                  0.148,                   0.24,                0.10843,                0.02852,                 2.6911,                 2.6055,                 2.9536,              0.0053339,             0.00033392,             0.00033392
                      5,                 2.5228,                 2.4061,                 2.7982,                0.20797,                0.34873,                0.19398,                0.04764,                 2.6064,                 2.3797,                 2.7584,               0.000302,               0.000302,               0.000302
                      6,                 2.3522,                 2.4203,                 2.6501,                0.09089,                    0.3,                0.20047,                0.04991,                 2.5076,                 2.3303,                 2.7383,              0.0002525,              0.0002525,              0.0002525
                      7,                 2.4084,                 2.3883,                 2.7566,                  0.143,                   0.41,                0.12649,                0.03411,                 2.4663,                 2.4552,                 2.8152,               0.000203,               0.000203,               0.000203
                      8,                  2.391,                 2.3481,                 2.7344,                0.14518,                   0.56,                0.15088,                0.03446,                 2.3667,                 2.3656,                 2.7466,              0.0001535,              0.0001535,              0.0001535
                      9,                 2.3815,                 2.3082,                  2.717,                0.20505,                   0.59,                0.23405,                0.05489,                 2.3817,                 2.3221,                 2.7567,               0.000104,               0.000104,               0.000104
                     10,                 2.3532,                 2.2313,                 2.6733,                0.14654,                   0.67,                0.22707,                0.05598,                 2.3975,                 2.3212,                 2.7568,               5.45e-05,               5.45e-05,               5.45e-05
