                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.6822,                 29.882,                 2.8196,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                 0.0895,                 0.0105,                 0.0105
                      2,                  2.669,                 3.7921,                 3.0899,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.076372,               0.019372,               0.019372
                      3,                 2.4893,                 3.4927,                 3.4428,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.061065,               0.026065,               0.026065
                      4,                 2.5422,                 3.1212,                 3.4179,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                0.04358,               0.030581,               0.030581
                      5,                 2.4568,                 3.0067,                 3.2433,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                 0.0302,                 0.0302,                 0.0302
                      6,                  2.425,                 2.8645,                 3.1945,                0.00766,                   0.18,                0.00457,                 0.0009,                    nan,                    nan,                    nan,                0.02525,                0.02525,                0.02525
                      7,                 2.4572,                 2.6845,                 3.2506,                0.50941,                   0.03,                0.01155,                0.00277,                    nan,                    nan,                    nan,                 0.0203,                 0.0203,                 0.0203
                      8,                 2.4632,                 2.7138,                 3.1764,                0.51705,                   0.11,                0.02207,                0.00541,                 2.8242,                 11.514,                 3.7313,                0.01535,                0.01535,                0.01535
                      9,                 2.4416,                 2.5373,                 3.1128,                0.61746,                   0.13,                0.13839,                0.02988,                 2.3661,                 2.8716,                  3.048,                 0.0104,                 0.0104,                 0.0104
                     10,                 2.4172,                 2.5159,                 3.1518,                0.63294,                   0.26,                0.26132,                0.06907,                 2.3832,                 2.3556,                 3.1963,                0.00545,                0.00545,                0.00545
